kappa,frequency_real_hz,frequency_imag_hz,Omega,delta_Omega,Q
0.120855,177724.501806597,-0.0457590484235674,0.879143868936631,-1.13106336874225e-06,1941960.20163591
0.1208555,177724.446152187,-0.039420172772897,0.879143593632818,-9.06367182418322e-07,2254232.20715029
0.120856,177724.390491524,-0.0330795090231719,0.879143318298075,-6.81701925464573e-07,2686321.46817884
0.1208565,177724.33482487,-0.0267370770916599,0.879143042933691,-4.57066309023091e-07,3323555.79137534
0.120857,177724.279151653,-0.0203924291694792,0.879142767536842,-2.32463157723295e-07,4357604.42452947
0.1208575,177724.22347237,-0.0140460160252248,0.879142492109993,-7.89000720313737e-09,6326499.38435215
0.120858,177724.167786786,-0.00769767693492507,0.879142216651969,2.16651968587556e-07,11544013.1671696
0.1208585,177724.112095565,-0.00134755961817277,0.87914194116606,4.41166060238807e-07,65942949.6472112
0.120859,177724.056397461,0.00500458665324209,0.879141665646105,6.65646105346696e-07,17756117.4090498
0.1208595,177724.000693507,0.0113587166109803,0.879141390097213,8.9009721260247e-07,7823243.01152578
0.12086,177723.944983625,0.0177146516104114,0.879141114518998,1.1145189975359e-06,5016298.05914929
0.1208605,177723.889267083,0.0240724827147892,0.879140838907839,1.33890783915458e-06,3691432.48273882
0.120861,177723.833544415,0.0304321528575557,0.879140563266374,1.56326637368309e-06,2920000.9998683
0.1208615,177723.777815682,0.0367938716980877,0.879140287594906,1.78759490587765e-06,2415127.43309531
0.120862,177723.722080741,0.0431573747433512,0.879140011892732,2.01189273218993e-06,2059019.14953853
