theta_deg,frequency_hz,rayleigh_frequency_hz,eta_0,eta_m1,eta_p1,eta_total,kn_m1_real,kn_m1_imag,large_groove_probe_abs_pa
6.2,179400,182451.671285486,0.999999999999996,8.36147729918096e-26,-2.4103351518015e-31,0.999999999999996,0,-146.585232564353,8838.17014235004
6.25,179400,182308.930689984,0.999999999999999,3.95598688388908e-25,7.50246506893444e-31,0.999999999999999,0,-143.141199503454,8841.01281912456
6.3,179400,182166.426874784,1.00000000000001,-4.77256519885165e-25,5.95288310836756e-31,1.00000000000001,0,-139.615618058635,8843.68392309776
6.35,179400,182024.15936143,0.999999999999994,-5.778314525051e-25,-1.24927976309936e-31,0.999999999999994,0,-136.002148337061,8846.19441153389
6.4,179400,181882.127672714,1.00000000000001,1.6432378436901e-25,-1.22496150605398e-31,1.00000000000001,0,-132.293590722989,8848.55421276671
6.45,179400,181740.331332678,0.999999999999997,-1.4653340713671e-25,-1.90530716246345e-31,0.999999999999997,0,-128.481713474743,8850.77232591192
6.5,179400,181598.769866607,0.999999999999994,3.01902701632129e-25,-7.8883936874666e-31,0.999999999999994,0,-124.557033169488,8852.85690486176
6.55,179400,181457.442801026,0.999999999999995,4.68954343843425e-25,7.15409189823767e-32,0.999999999999995,0,-120.508531208781,8854.81532777171
6.6,179400,181316.349663693,1,6.02982598317267e-25,-5.19166510876062e-32,1,0,-116.323282042279,8856.65425260097
6.65,179400,181175.489983601,1,1.45845512550395e-24,1.57899008536597e-31,1,0,-111.985956993105,8858.37965845132
6.7,179400,181034.863290971,1,-1.1886344041474e-24,-2.62410959745635e-32,1,0,-107.478148690285,8859.99687137052
6.75,179400,180894.469117247,0.999999999999994,-2.22616920433511e-25,-4.69285806889929e-31,0.999999999999994,0,-102.777429843385,8861.51057167501
6.8,179400,180754.306995095,0.999999999999985,9.30555331764165e-25,-2.3724439140796e-32,0.999999999999985,0,-97.8560063175807,8862.92477721875
6.85,179400,180614.376458396,1.00000000000001,2.96790933240715e-24,2.21670809933833e-31,1.00000000000001,0,-92.6787278489565,8864.24279243702
6.9,179400,180474.677042247,0.999999999999994,3.64726453765124e-24,-1.70199522274674e-31,0.999999999999994,0,-87.2000369298598,8865.46710443343
6.95,179400,180335.20828295,1,1.10727307893835e-24,6.24130894774315e-31,1,0,-81.359068271028,8866.5991901769
7,179400,180195.969718017,0.999999999999996,8.9995588292461e-25,-7.98883020984231e-31,0.999999999999996,0,-75.0713109253492,8867.63916151067
7.05,179400,180056.96088616,0.999999999999994,-7.13228083494392e-24,-2.20956814596163e-31,0.999999999999994,0,-68.213328027334,8868.58508501077
7.1,179400,179918.181327289,1.00000000000001,-3.1619430467541e-25,-4.65553237203894e-31,1.00000000000001,0,-60.5918117774553,8869.43156903933
7.15,179400,179779.630582509,1.00000000000001,-2.89461297821007e-24,-6.70858708457467e-31,1.00000000000001,0,-51.8712906929265,8870.16641252956
7.2,179400,179641.308194116,0.999999999999996,-6.65502431505873e-24,-2.77864363786689e-31,0.999999999999996,0,-41.3623986409234,8870.76069201918
