kappa,real_Omega,imag_Omega,Q,sigma_ratio
0,1,0,Inf,8.95644578007864e-13
0.0003,0.999999997332648,1.25159948771208e-10,3994888169.69973,1.0755505231441e-11
0.000323445546912265,0.999999996900408,1.41374639677134e-10,3536702194.90628,4.81532991777312e-16
0.000348723406057915,0.999999996397057,1.64331683904506e-10,3042626877.04875,5.61191991807144e-16
0.000375976775978367,0.999999995811957,1.91016408745255e-10,2617576161.07626,1.35738862832318e-15
0.00040536004644211,0.999999995131831,2.22034054630943e-10,2251906800.49958,7.24938677920425e-16
0.000437039673059499,0.999999994341249,2.58088139733728e-10,1937322643.677,1.20779986318088e-15
0.00047119512025029,0.999999993422269,2.99996380398498e-10,1666686764.84351,1.56829872618213e-15
0.000508019877905819,0.999999992354041,3.4870924446708e-10,1433859308.60867,1.82264470251396e-15
0.000547722557505166,0.999999991112324,4.05331507455202e-10,1233558177.34308,2.10688063122061e-15
0.00059052807389481,0.999999989668944,4.71147292966587e-10,1061239239.40264,2.29333654391925e-15
0.000636678919426512,0.999999987991148,5.47649171812826e-10,912993244.088138,2.74766891581584e-15
0.000686436537671394,0.999999986040867,6.36572014072651e-10,785457076.28826,3.54256176751015e-15
0.000740082804492285,0.999999983773847,7.3993228642227e-10,675737497.960158,4.5582637461998e-15
0.000797921624864567,0.999999981138648,8.60073796213473e-10,581345452.879281,5.54858183548702e-15
0.000860280654491478,0.999999978075476,9.99720731597943e-10,500139662.242017,6.98874783838809e-15
0.000927513155966791,0.999999974514826,1.16203951317529e-09,430277956.634327,8.81487066112642e-15
0.001,0.999999970375905,1.35071048383842e-09,370175541.813418,1.10546206341226e-14
