candidate,parity,N,K,sigma_ratio,full_raw_residual,physical_groove_fraction
unconstrained_root,odd,41,3,0.00741149951500259,0.0160786019263582,0.988390494940833
unconstrained_root,odd,41,5,0.00321331112156771,0.00761478858414634,0.988828582719241
unconstrained_root,odd,57,7,0.0018427957052104,0.0053008860139107,0.988934136184728
unconstrained_root,odd,73,9,0.00120159963471556,0.00434979237556915,0.988971185888228
unconstrained_root,odd,89,11,0.000836989175548733,0.00359803141752477,0.988992794874756
unconstrained_root,odd,121,15,0.000459916439564187,0.0025160729227382,0.989012324369661
unconstrained_root,odd,153,19,0.000265028234523865,0.00185750006277947,0.989020180810287
unconstrained_root,odd,185,23,0.000156339457273833,0.0013184648837047,0.989024540882468
unconstrained_root,odd,249,31,5.07676920856272e-05,0.000566017418414813,0.989028946259565
unconstrained_root,odd,313,39,4.38708416732873e-13,1.57440139375782e-11,0.989030843259087
min1mm_odd_candidate,odd,41,3,0.0766579103513575,0.490464627881587,0.0755803441433514
min1mm_odd_candidate,odd,41,5,0.0577927817881088,0.490715701461412,0.0750895492829571
min1mm_odd_candidate,odd,57,7,0.0495754406897159,0.536875733872718,0.0693283310797321
min1mm_odd_candidate,odd,73,9,0.0452887666050853,0.568370542483934,0.0630510046339229
min1mm_odd_candidate,odd,89,11,0.0427329615775418,0.579909018006299,0.0611703658610822
min1mm_odd_candidate,odd,121,15,0.0398269889386258,0.588625610417729,0.0600977297148291
min1mm_odd_candidate,odd,153,19,0.0382139615762548,0.605237649797902,0.0581911501450971
min1mm_odd_candidate,odd,185,23,0.0372255194852867,0.602876453729741,0.0569317202185622
min1mm_odd_candidate,odd,249,31,0.0360569113733892,0.589909306705717,0.0557057966419501
min1mm_odd_candidate,odd,313,39,0.0353819291048349,0.581707896264387,0.0545572626924321
min1mm_even_candidate,even,41,3,0.137027281195457,0.683788886167919,0.940409274100854
min1mm_even_candidate,even,41,5,0.117435952354195,0.641129866693932,0.939231554383721
min1mm_even_candidate,even,57,7,0.106642124489174,0.644013553932424,0.938835369215227
min1mm_even_candidate,even,73,9,0.100621351110214,0.634069178552438,0.938425366699691
min1mm_even_candidate,even,89,11,0.0968331935299617,0.623709388356871,0.938046382767152
min1mm_even_candidate,even,121,15,0.0924582983313096,0.601601512448908,0.937428473908113
min1mm_even_candidate,even,153,19,0.0899537800567587,0.583598785148161,0.936934034313646
min1mm_even_candidate,even,185,23,0.0883349736400877,0.57732929359882,0.93650884007203
min1mm_even_candidate,even,249,31,0.086364222385408,0.562462813369599,0.935842158499853
min1mm_even_candidate,even,313,39,0.0851850837461845,0.554777474477083,0.935327024517016
gt1p01mm_odd_probe,odd,41,3,0.0778070358606845,0.49397528467528,0.0791945034957678
gt1p01mm_odd_probe,odd,41,5,0.0587275789223681,0.494295310481121,0.0780795478921059
gt1p01mm_odd_probe,odd,57,7,0.0504293464748858,0.541440214716706,0.0730305452793281
gt1p01mm_odd_probe,odd,73,9,0.0460901555818888,0.576623229382726,0.067568360448469
gt1p01mm_odd_probe,odd,89,11,0.0434986376379647,0.593451961398956,0.0655660499244319
gt1p01mm_odd_probe,odd,121,15,0.0405954191221723,0.59863584399852,0.0640306554490068
gt1p01mm_odd_probe,odd,153,19,0.0389858006324185,0.609596788815133,0.0607270211409961
gt1p01mm_odd_probe,odd,185,23,0.0379908406527619,0.606781373028902,0.060454527284268
gt1p01mm_odd_probe,odd,249,31,0.0368140806807164,0.5951311798987,0.0579382387624079
gt1p01mm_odd_probe,odd,313,39,0.0361271064784625,0.590924209317395,0.0571496391765143
gt1p01mm_odd_depth3a,odd,41,3,0.0783835950058064,0.48845655874475,0.2108682771965
gt1p01mm_odd_depth3a,odd,41,5,0.0611365167701772,0.479755208003037,0.199894286631507
gt1p01mm_odd_depth3a,odd,57,7,0.0530804399785543,0.516781111385643,0.199892354204778
gt1p01mm_odd_depth3a,odd,73,9,0.0488648915799125,0.545043143151443,0.191474941615975
gt1p01mm_odd_depth3a,odd,89,11,0.0462716533413353,0.563826670940569,0.184522520648002
gt1p01mm_odd_depth3a,odd,121,15,0.0433577476967228,0.578037151982175,0.179362933546762
gt1p01mm_odd_depth3a,odd,153,19,0.0417634923110604,0.579490421397821,0.176995454422312
gt1p01mm_odd_depth3a,odd,185,23,0.0407593001262413,0.5788424109815,0.173986448165851
gt1p01mm_odd_depth3a,odd,249,31,0.0395627656193332,0.573181837690874,0.169696380976256
gt1p01mm_odd_depth3a,odd,313,39,0.0388687041759985,0.566570063380983,0.167460356060649
gt1p01mm_even_depth3a,even,41,3,0.111511521726947,0.527247051903938,0.572577349961014
gt1p01mm_even_depth3a,even,41,5,0.0804510889077796,0.430989399681856,0.575249526715496
gt1p01mm_even_depth3a,even,57,7,0.0680889574865758,0.429407498746264,0.581538406004949
gt1p01mm_even_depth3a,even,73,9,0.0615755364613758,0.436107897774763,0.584596583596881
gt1p01mm_even_depth3a,even,89,11,0.0576150495000931,0.444764891093813,0.586245148021762
gt1p01mm_even_depth3a,even,121,15,0.0530701142590775,0.462129425063689,0.58779417452195
gt1p01mm_even_depth3a,even,153,19,0.0505649511778215,0.482219303891052,0.588346810702712
gt1p01mm_even_depth3a,even,185,23,0.0489916744201852,0.501097553014329,0.588411342772707
gt1p01mm_even_depth3a,even,249,31,0.04713033502558,0.532085738531855,0.587946191385885
gt1p01mm_even_depth3a,even,313,39,0.0460648149005865,0.553266364305794,0.587297036576857
