candidate,parity,N,K,d_over_a,w_over_a,g_over_a,sigma_ratio,full_raw_residual,pressure_q_ge_1_fraction,velocity_q_ge_1_fraction
outer-clone,odd,51,1,0.192681441082626,0.0917192490040138,0.677098354505321,0.663407733619604,2.99070223746972,0,0
outer-clone,odd,51,3,0.192681441082626,0.0917192490040138,0.677098354505321,0.175280917803219,0.382753197393564,0.923242995282607,0.980318605786228
outer-clone,odd,51,5,0.192681441082626,0.0917192490040138,0.677098354505321,0.154564293468584,0.358009881285482,0.916609815838048,0.985629827177667
outer-clone,odd,51,9,0.192681441082626,0.0917192490040138,0.677098354505321,0.1459161458065,0.306359861143782,0.916051993629124,0.985624715292097
outer-clone,odd,81,15,0.192681441082626,0.0917192490040138,0.677098354505321,0.122578697958232,0.313687811922097,0.914236093689881,0.992457400239736
outer-clone,odd,121,23,0.192681441082626,0.0917192490040138,0.677098354505321,0.105822659001445,0.317761663732907,0.91300736518666,0.994981974543466
outer-clone,odd,161,31,0.192681441082626,0.0917192490040138,0.677098354505321,0.0931953812197353,0.329560037346684,0.91246728728447,0.996345088024324
outer-clone,even,51,1,0.192681441082626,0.0917192490040138,0.677098354505321,0.675349817389275,4.44789760058474,0,0
outer-clone,even,51,3,0.192681441082626,0.0917192490040138,0.677098354505321,0.42978987625741,0.452479218113342,0.977323640652764,0.995011296902352
outer-clone,even,51,5,0.192681441082626,0.0917192490040138,0.677098354505321,0.398119819673137,0.376467021393931,0.981609099312309,0.997086936903773
outer-clone,even,51,9,0.192681441082626,0.0917192490040138,0.677098354505321,0.308626276979495,0.656266870955001,0.999392546612905,0.999994571159991
outer-clone,even,81,15,0.192681441082626,0.0917192490040138,0.677098354505321,0.250775546238524,0.601807184667133,0.996219107596917,0.999984760401015
outer-clone,even,121,23,0.192681441082626,0.0917192490040138,0.677098354505321,0.185172669892601,0.509977931694163,0.999987478857729,0.999999980638933
outer-clone,even,161,31,0.192681441082626,0.0917192490040138,0.677098354505321,0.142205861280318,0.572862433860784,0.999981267682424,0.999999982109596
odd-search,odd,51,1,1.001999,0.25,0.2499999,0.691302660180846,3.24357385792973,0,0
odd-search,odd,51,3,1.001999,0.25,0.2499999,0.502760296108732,2.76214530360281,0.00570872913371247,0.998171398573999
odd-search,odd,51,5,1.001999,0.25,0.2499999,0.147003321953276,0.392164217081721,0.998416786021332,0.999999995304703
odd-search,odd,51,9,1.001999,0.25,0.2499999,0.105626113268089,0.390198639612244,0.997735425069935,0.999999994450399
odd-search,odd,81,15,1.001999,0.25,0.2499999,0.084173167219279,0.402161658809056,0.996858255355914,0.99999999419238
odd-search,odd,121,23,1.001999,0.25,0.2499999,0.0734298074576589,0.42461012042429,0.99609141929752,0.999999994708254
odd-search,odd,161,31,1.001999,0.25,0.2499999,0.0685247879576404,0.445677592345227,0.995577206023957,0.99999999536626
even-search,even,51,1,1.649290228,0.1,0.410701595,0.673348966015464,3.12920152755491,0,0
even-search,even,51,3,1.649290228,0.1,0.410701595,0.619284188007871,0.329915687645127,0.508170930833992,0.981395101689212
even-search,even,51,5,1.649290228,0.1,0.410701595,0.105508637958381,0.241404905324389,0.999972516048012,0.999999749404578
even-search,even,51,9,1.649290228,0.1,0.410701595,0.0831266442081454,0.21373980404597,0.999971118962895,0.999999765299881
even-search,even,81,15,1.649290228,0.1,0.410701595,0.0682967170602851,0.212807723997654,0.999972974339413,0.99999982227848
even-search,even,121,23,1.649290228,0.1,0.410701595,0.059063087902696,0.211860336135781,0.999974569986738,0.999999873254976
even-search,even,161,31,1.649290228,0.1,0.410701595,0.0539315230968916,0.214966217587299,0.999975433292306,0.999999903039139
