kappa,theta_deg,pole_frequency_hz,rayleigh_frequency_hz,linewidth_hz,Q,radiation_A0,radiation_Am1,spectral_weight_A0,spectral_weight_Am1,peak_contrast_A0,peak_contrast_Am1
0.110000105311808,7.09966291282572,180000,180000,0,0,2.57803853256084e-16,8.09207131142367e-17,NaN,NaN,NaN,NaN
0.110000205311808,7.09966935084983,180000.001247205,179999.982137195,8.67855406862368e-12,2.07407823727198e+16,6.95092615094417e-09,2.59923811911148e-11,NaN,NaN,NaN,NaN
0.110000226464574,7.09967071267001,180000.001511023,179999.978358718,8.32109403094942e-12,2.16317711158571e+16,8.42123740196601e-09,3.46613118469162e-11,NaN,NaN,NaN,NaN
0.110000252091735,7.09967236255282,180000.001830646,179999.973780989,1.22249635811118e-11,1.47239703935606e+16,1.02025628777056e-08,4.62216375500493e-11,NaN,NaN,NaN,NaN
0.110000283139749,7.09967436143145,180000.002217878,179999.968234944,1.86988581619379e-11,9.62625635528239e+15,1.23606873652799e-08,6.16373433276163e-11,NaN,NaN,NaN,NaN
0.110000320755278,7.09967678312829,180000.002687021,179999.961515757,2.80829263234528e-11,6.40958853838169e+15,1.49753165697566e-08,8.21949500020852e-11,NaN,NaN,NaN,NaN
0.11000036632753,7.09967971708089,180000.003255399,179999.953375277,3.99610124198619e-11,4.50439046348921e+15,1.81430114221964e-08,1.09608678666803e-10,NaN,NaN,NaN,NaN
0.110000421539575,7.0996832716457,180000.003944006,179999.943512862,5.86957933963209e-11,3.0666593554435e+15,2.19807621474401e-08,1.46165290214947e-10,NaN,NaN,NaN,NaN
0.110000488430493,7.09968757809918,180000.004778271,179999.931564275,8.27067934214729e-11,2.17636299670081e+15,2.66303059473483e-08,1.94914488580205e-10,NaN,NaN,NaN,NaN
0.110000569470692,7.09969279548681,180000.005789007,179999.917088233,1.24748518204222e-10,1.44290295692598e+15,3.22633575525838e-08,2.59922526500544e-10,NaN,NaN,NaN,NaN
0.110000667653134,7.09969911649624,180000.007013539,179999.899550111,1.80200714975345e-10,998886197749921,3.90879585970216e-08,3.46612074047678e-10,NaN,NaN,NaN,NaN
0.110000786603878,7.09970677457401,180000.008497094,179999.878302197,2.72707179920749e-10,660048659332709,4.73561548877972e-08,4.62214135938236e-10,NaN,NaN,NaN,NaN
0.110000930715994,7.09971605254708,180000.01029446,179999.852559767,3.99846152833405e-10,450173170403009,5.73733089068738e-08,6.16371863341414e-10,NaN,NaN,NaN,NaN
0.110001105311808,7.09972729306811,180000.012472017,179999.821372113,5.92813291733779e-10,303636937602357,6.95093778530191e-08,8.21944269592857e-10,NaN,NaN,NaN,NaN
0.110001316839467,7.09974091127046,180000.015110184,179999.783587422,8.73968661587262e-10,205957058898744,8.42125717561733e-08,1.09607866453327e-09,NaN,NaN,NaN,NaN
0.110001573111076,7.0997574100994,180000.018306392,179999.737810245,1.29410142430647e-09,139092666869489,1.02025916694627e-07,1.46164170573421e-09,NaN,NaN,NaN,NaN
0.110001883591219,7.09977739888731,180000.02217868,179999.682349963,1.92246246071241e-09,93629928207792.8,1.23607303984181e-07,1.94912622684982e-09,NaN,NaN,NaN,NaN
0.110002259746499,7.09980161585706,180000.026870054,179999.615158345,2.85066158837142e-09,63143246327210.7,1.49753790572917e-07,2.59919491147713e-09,NaN,NaN,NaN,NaN
0.110002715469024,7.09983095538624,180000.032553771,179999.533753911,4.23361082303237e-09,42516905799301.6,1.8143104046832e-07,3.46607125608666e-09,NaN,NaN,NaN,NaN
0.110003267589469,7.09986650103825,180000.03943973,179999.435130292,6.29674755314602e-09,28586192779762.5,2.19808989290494e-07,4.62206272227146e-09,NaN,NaN,NaN,NaN
0.110003936498658,7.09990956557996,180000.04778223,179999.315645201,9.37787500744206e-09,19194118885076.5,2.6630506202362e-07,6.16359136508538e-09,NaN,NaN,NaN,NaN
0.110004746900642,7.09996173946516,180000.057889356,179999.170885931,1.39764241906219e-08,12878834774500.8,3.22636522165455e-07,8.21923520684131e-09,NaN,NaN,NaN,NaN
0.11000572872506,7.10002494957274,180000.070134354,179998.995506398,2.08581424141261e-08,8629726778183.76,3.90883915195391e-07,1.09604525005225e-08,NaN,NaN,NaN,NaN
0.110006918232499,7.10010153037029,180000.084969414,179998.783029723,3.11820698108105e-08,5772550894200.42,4.73567915013768e-07,1.46158786194225e-08,NaN,NaN,NaN,NaN
0.110008359353661,7.10019431012947,180000.102942381,179998.525609059,4.66743262773193e-08,3856512076315.69,5.7374269321199e-07,1.9490399926206e-08,NaN,NaN,NaN,NaN
0.110010105311808,7.10030671538271,180000.12471691,179998.213737837,6.99676120884954e-08,2572620664676.18,6.95107894101604e-07,2.59905558638715e-08,NaN,NaN,NaN,NaN
0.110012220588395,7.10044289746815,180000.151097059,179997.835898742,1.05059954159814e-07,1713308867651.4,8.42146480859991e-07,3.46584627073255e-08,NaN,NaN,NaN,NaN
0.110014783304485,7.10060788584894,180000.183056906,179997.378138454,1.58020694189731e-07,1139092471273.32,1.02028969101565e-06,4.62169937847533e-08,NaN,NaN,NaN,NaN
0.110017888105909,7.10080777386164,180000.221776508,179996.82355247,2.38096843857662e-07,755995832872.59,1.23611789945953e-06,6.16300455455971e-08,NaN,NaN,NaN,NaN
0.110021649658709,7.10104994375653,180000.268685426,179996.151661006,3.88296401215012e-07,463564092075.514,1.49760362629764e-06,8.21828691045145e-08,NaN,NaN,NaN,NaN
0.110026206883965,7.10134333933785,180000.325515519,179995.337652952,5.86823020260683e-07,306736987645.028,1.81440696553032e-06,1.09589206845781e-07,NaN,NaN,NaN,NaN
0.11003172808841,7.10169879628202,180000.394364735,179994.35147001,8.88618195222375e-07,202562129981.696,2.19823175411517e-06,1.46134047163628e-07,NaN,NaN,NaN,NaN
0.110038417180304,7.10212944232237,180000.477774507,179993.156697263,1.34836831383803e-06,133495036873.233,2.66325899543331e-06,1.94863985767701e-07,NaN,NaN,NaN,NaN
0.110046521200145,7.10265118208906,180000.578823414,179991.709219288,2.050300214798e-06,87792303548.6527,3.22667128842538e-06,2.59840928405687e-07,NaN,NaN,NaN,NaN
0.110056339444328,7.10328328450796,180000.701240589,179989.95559235,3.12437839377128e-06,57611684167.1406,3.90928865024216e-06,3.46480230931697e-07,NaN,NaN,NaN,NaN
0.110068234518714,7.10404909445474,180000.849543034,179987.831072755,4.77161378572682e-06,37723264628.3034,4.73633925288998e-06,4.6200131439814e-07,NaN,NaN,NaN,NaN
0.110082645730335,7.10497689494947,180001.029201825,179985.257228872,7.30359894120179e-06,24645524850.2741,5.73839380492257e-06,6.16028085590516e-07,NaN,NaN,NaN,NaN
0.110100105311808,7.10610095173737,180001.246843278,179982.139049099,1.12043896270414e-05,16065243430.0259,6.95249848871621e-06,8.21388826509312e-07,1.94092217656664e-05,0.0011182374668341,1.05339145221968,7.99563106844705
0.110121258077671,7.10746277884062,180001.510492355,179978.361439643,1.72275755285856e-05,10448452841.9962,8.423548870871e-06,1.09518160013623e-06,2.72026473094899e-05,0.00156666142132348,1.00571109781365,7.6322964211583
0.110146885238571,7.10911267182762,180001.829867113,179973.784983781,2.65487561267576e-05,6780047585.19347,1.02059563814823e-05,1.46019295275251e-06,3.80410717731826e-05,0.00218988122947821,0.95804039628593,7.26888379204473
0.110177933252812,7.11111156543885,180002.216734778,179968.240807448,4.10055417139729e-05,4389704640.1765,1.23656701493129e-05,1.94678648693991e-06,5.30814496241074e-05,0.00305402777799542,0.910603894477049,6.90708181852181
0.110215548780812,7.11353328419323,180002.685342177,179961.524363687,6.34757872172436e-05,2835769247.35292,1.49826306966843e-05,2.59541600590978e-06,7.39091901771773e-05,0.00424952952746547,0.863623346590982,6.54855631531265
0.110261121033377,7.11646726911912,180003.252935804,179953.387909594,9.84745237296662e-05,1827916968.96094,1.81537487781761e-05,3.45996827381434e-06,0.000102693614810659,0.00589979975476175,0.817313609900103,6.19491893044117
0.110316333077825,7.12002188135479,180003.940389812,179943.531402529,0.000153097242531128,1175749069.11346,2.19965233020222e-05,4.61220684546188e-06,0.000142399572667923,0.0081729784625105,0.771879185776592,5.84770066564888
0.110383223996764,7.12432840468325,180004.772963807,179931.591486226,0.000238512007313844,754698998.138695,2.66534376735084e-05,6.14767574791742e-06,0.000197075414103942,0.0112977738165132,0.72751080829285,5.50832572109746
0.11046426419517,7.1295458949104,180005.78121646,179917.128169993,0.000372321771301893,483468319.854184,3.22973052895657e-05,8.19353630935422e-06,0.000272245638216254,0.015584838343723,0.684382992346334,5.17809256941244
0.110562446636999,7.13586705531347,180007.002105813,179899.608723704,0.000582306968889987,309127336.135009,3.91377738405369e-05,1.09189600288021e-05,0.000375447005826353,0.0214555915655563,0.642651947384159,4.85815774327221
0.110681397380866,7.14352535534619,180008.480312714,179878.38821524,0.000912357296762787,197300422.708754,4.74292464558961e-05,1.45488948617595e-05,0.000516962553282231,0.029481092744553,0.602454203026552,4.54952494552765
0.110825509497077,7.15280365580114,180010.269830077,179852.68600303,0.00143187501677811,125716468.072138,5.74805382332969e-05,1.93822737098522e-05,0.000710829638990386,0.0404344728986005,0.563905831057848,4.25303858456975
0.111000105311808,7.16404465941577,180012.435867615,179821.557361547,0.00225067950860717,79981372.3718556,6.96666625732078e-05,2.5816056431263e-05,0.000976229840083636,0.05536169278294,0.527102335993356,3.96938225167775
0.111050105311808,7.16726382724309,180013.05576212,179812.644952429,0.00252553631775918,71277159.8239534,7.31582266353584e-05,2.77668428741429e-05,0.00105807295759494,0.0599504751421562,0.518031966078415,3.89936882100043
0.111438068274771,7.19224245196214,180017.859542521,179743.522671484,0.00531739809766236,33854501.0616491,0.000100276643275377,4.4383552693519e-05,0.00177544551521339,0.0999168313221803,0.462464740125597,3.46930517800248
0.111826031237734,7.21722155614922,180022.652445826,179674.455986164,0.0093791081537811,19194005.3888015,0.000127441771025012,6.33410743653228e-05,0.00262831348941165,0.146916833849129,0.423674108085526,3.1675662507348
0.112213994200697,7.24220114898927,180027.434478016,179605.44481752,0.0148371015020847,12133598.6312907,0.00015465336026176,8.4344506883794e-05,0.00360626114346136,0.200227471396312,0.394573989327311,2.94005799462313
0.11260195716366,7.26718123965494,180032.205645334,179536.48908679,0.0218009302366212,8258005.67642365,0.000181911162662451,0.000107179438836148,0.00470220358571301,0.25932787138709,0.371696702450275,2.76028257591689
0.112989920126623,7.29216183730638,180036.96595428,179467.588715394,0.0303673369087284,5928638.60586115,0.000209214931412748,0.000131680294385714,0.00591107042478044,0.323820640937846,0.353107747693973,2.61344387583119
0.113377883089586,7.31714295109116,180041.715411613,179398.743624939,0.0406228565642178,4432029.91219974,0.000236564421302432,0.000157713850302896,0.00722911534715394,0.393390332518858,0.337627586753999,2.49051195073222
0.113765846052549,7.34212459014415,180046.454024351,179329.953737215,0.0526456078160097,3419971.03829806,0.00026395938875677,0.000185169668094032,0.00865351462035017,0.467779133930454,0.324488955727124,2.38560783707027
0.114153809015512,7.36710676358749,180051.181799763,179261.218974196,0.0665065931529535,2707268.15589061,0.000291399591857379,0.000213954097894265,0.0101821158214045,0.546771558428799,0.313167532572565,2.29471058823182
0.114541771978475,7.39208948053057,180055.898745371,179192.539258042,0.0822706815815438,2188579.15461545,0.000318884790337354,0.000243986299263444,0.0118132716850155,0.630184258976459,0.30329078904986,2.21496092777576
0.114929734941438,7.41707275006997,180060.604868945,179123.914511093,0.0999973748865969,1800653.31788104,0.000346414745575242,0.000275195480111936,0.0135457253818944,0.717858953287448,0.294585561716424,2.14426049646164
0.115317697904401,7.44205658128948,180065.300178497,179055.344655873,0.119741420369159,1503784.56864268,0.000373989220578364,0.000307518911142865,0.0153785285371572,0.809657338152166,0.286846249455718,2.08102863828583
0.115705660867364,7.46704098326005,180069.984682282,178986.829615091,0.141553311058185,1272100.12493643,0.000401607979972456,0.000340900455488772,0.0173109809180709,0.905457326606515,0.279914664228173,2.02404822854661
0.116093623830327,7.49202596503981,180074.658388794,178918.369311634,0.165479701218907,1088197.8699646,0.000429270789976941,0.000375289452819215,0.0193425850235962,1.00515019853186,0.273666791860742,1.97236432378435
0.11648158679329,7.51701153567407,180079.321306759,178849.963668575,0.191563756576199,940049.018276211,0.000456977418394882,0.000410639854652031,0.0214730111745172,1.10863839783443,0.268003820177332,1.92521544581313
0.116869549756253,7.54199770419531,180083.973445134,178781.612609165,0.219845453305929,819138.948461838,0.000484727634584811,0.000446909542197678,0.0237020702067114,1.21583379971291,0.262845895228482,1.8819857372549
0.117257512719216,7.56698447962319,180088.614813105,178713.316056836,0.250361836035903,719313.365265782,0.000512521209445883,0.000484059779765846,0.0260296917875979,1.32665632696892,0.25812767447725,1.8421708703895
0.117645475682179,7.59197187096455,180093.24542008,178645.073935203,0.283147242661411,636040.964860944,0.000540357915399622,0.000522054770762747,0.0284559069717702,1.44103283042176,0.253795094833092,1.80535325780742
0.118033438645142,7.61695988721344,180097.865275688,178576.886168059,0.31823350191151,565929.93570415,0.000568237526365154,0.000560861292634302,0.0309808339899664,1.55889617164735,0.249802981105576,1.77118370049136
0.118421401608105,7.64194853735112,180102.474389774,178508.752679375,0.355650108264673,506403.541583466,0.000596159817740986,0.000600448393464158,0.0336046665675172,1.68018446435003,0.246113247691946,1.73936758177612
0.118809364571068,7.66693783034605,180107.072772397,178440.673393303,0.395424377828664,455477.919093893,0.000624124566390175,0.000640787137368158,0.0363276642170082,1.80484044015857,0.242693526804706,1.70965433107723
0.119197327534031,7.69192777515398,180111.660433828,178372.648234174,0.437581588163221,411607.035821273,0.000652131550612601,0.000681850388953081,0.0391501441204952,1.93281091469525,0.239516108402996,1.68182927800866
0.119585290496994,7.71691838071789,180116.237384541,178304.677126495,0.482145104314451,373572.677131386,0.000680180550133214,0.000723612629413175,0.0420724742724276,2.06404633365455,0.23655711125212,1.6557072796795
0.119973253459957,7.74190965596804,180120.803635214,178236.759994951,0.529136493035174,340405.180905261,0.000708271346078339,0.000766049798467612,0.0450950676717454,2.19850038530471,0.233795827775759,1.63112768178127
