kappa,Omega_real,Omega_imag,Q,q_real,q_imag,sigma_ratio,residual,mode_overlap,fixed_order
0.43,0.577473243272,0.205039205144,1.4082020140159,0.320699678562392,0.369207276175623,5.13904815065261e-13,7.75390071020463e-13,NaN,-1
0.428,0.576996411131614,0.204529756355931,1.41054392625272,0.318337720298375,0.370716154140902,5.25059568382734e-13,7.92652464459314e-13,0.999988173173636,-1
0.426,0.576502132558363,0.204008655018162,1.41293547694591,0.315951702237313,0.372244947077371,7.56429719606086e-13,1.14233159439867e-12,0.999988157388078,-1
0.424,0.575990079400106,0.203476233837517,1.4153743376734,0.313541852962294,0.373794729401564,1.11462292241093e-12,1.68371703734482e-12,0.999988142881315,-1
0.422,0.575459919251175,0.202932851125536,1.41785796646397,0.311108447238558,0.375366606592217,1.59001505046483e-12,2.40229591144681e-12,0.999988129932561,-1
0.42,0.574911316752345,0.202378892307907,1.4203835938524,0.308651810265334,0.376961714106258,2.17240790520064e-12,3.28344845161134e-12,0.999988118842087,-1
0.418,0.574343935088765,0.201814771440504,1.42294820886806,0.30617232212914,0.378581215905234,2.85403036375576e-12,4.31462011455932e-12,0.999988109931911,-1
0.416,0.573757437702256,0.201240932715358,1.42554854512079,0.303670422438718,0.380226302543102,3.62676793282446e-12,5.48473988725819e-12,0.999988103546294,-1
0.414,0.573151490234739,0.200657851934646,1.42818106719645,0.301146615113902,0.381898188761461,4.4834458648426e-12,6.78228319105656e-12,0.999988100052,-1
0.412,0.572525762718567,0.200066037926687,1.43084195761493,0.298601473291609,0.383598110536439,5.41572037533109e-12,8.19467062643899e-12,0.999988099838226,-1
0.41,0.571879932027867,0.199466033873495,1.4335271046462,0.296035644301829,0.38532732152058,6.41421923185194e-12,9.70852573972618e-12,0.999988103316164,-1
0.408,0.571213684602517,0.198858418514838,1.43623209132556,0.293449854654869,0.387087088823695,7.46880985019354e-12,1.13074211457437e-11,0.999988110918101,-1
0.406,0.570526719452887,0.198243807188903,1.43895218605554,0.290844914968354,0.388878688078977,8.56795177120032e-12,1.29748359785319e-11,0.999988123095984,-1
0.404,0.569818751448935,0.197622852664961,1.44168233522814,0.288221724748691,0.390703397745303,9.69862891885717e-12,1.46911817770138e-11,0.999988140319356,-1
0.402,0.569089514913425,0.196996245715402,1.4444171584254,0.285581276947221,0.392562492584775,4.44089208816312e-16,8.97512636978005e-16,0.9999881630726,-1
0.4,0.568338767380228,0.196364715394283,1.44715094623557,0.282924662058773,0.394457236396636,4.44089209838526e-16,7.40803329226606e-16,0.999988191851387,-1
0.398,0.56756629381795,0.19572902891565,1.44987766240475,0.280253071922629,0.396388873713794,4.44089209549171e-16,7.74783968276506e-16,0.999988227158263,-1
0.396,0.566771910874823,0.195089991139124,1.45259094934973,0.277567802704805,0.398358620823422,4.44089208814437e-16,7.52732888223677e-16,0.99998826949735,-1
0.394,0.565955471411871,0.194448443554561,1.45528413873127,0.274870257185705,0.400367655867822,4.44089209822347e-16,9.7420835943195e-16,0.999988319368061,-1
0.392,0.565116869152705,0.193805262727363,1.45795026719085,0.272161946080576,0.402417108177863,4.44089209763857e-16,8.02129542772941e-16,0.999988377257881,-1
0.39,0.564256043404761,0.193161358147305,1.46058209782947,0.269444488242448,0.404508046899873,4.44089209054014e-16,9.77274827339067e-16,0.999988443634214,-1
0.388,0.563372983773494,0.19251766943362,1.46317214786289,0.266719609579821,0.406641469027342,4.44089209804858e-16,9.33949534145967e-16,0.999988518935382,-1
0.386,0.562467734777573,0.191875162858978,1.46571272278468,0.26398914052828,0.408818286984823,4.44089209557382e-16,1.00635528533578e-15,0.999988603560888,-1
0.384,0.561540400260587,0.191234827168311,1.46819595723105,0.261255011929833,0.41103931594889,4.44089209825454e-16,1.03681411978527e-15,0.999988697861152,-1
0.382,0.560591147483991,0.190597668685248,1.47061386256971,0.258519249197027,0.413305261128174,4.44089209815763e-16,8.70288918930752e-16,0.999988802126934,-1
0.38,0.559620210778005,0.189964705719125,1.47295838103063,0.255783964671367,0.415616705259472,4.44089209818431e-16,7.49185958064266e-16,0.999988916578783,-1
0.378,0.558627894622904,0.189336962308626,1.47522144596447,0.253051348127402,0.417974096607117,4.44089209828605e-16,1.00226750283483e-15,0.99998904135684,-1
0.376,0.557614576033523,0.188715461363467,1.47739504756199,0.250323655424484,0.420377737775987,4.44089209586422e-16,8.58301714981872e-16,0.999989176511412,-1
