point_id,k_index,kappa,root_index,Omega_real,Omega_imag,Q,sigma_ratio,raw_residual,sheet_signature,open_count,guided,cut_distance
1,1,0,1,0.342811512642305,0.136996225710857,1.25117137666931,4.44089209846573e-16,4.94825660107717e-14,2,1,0,0.342811512642305
2,1,0,2,0.857319127351095,0.000420473901095379,1019.46770669676,4.44089209670332e-16,1.09731113745836e-14,2,1,0,0.142680872648905
3,2,0.01,1,0.342833909891951,0.13703568056161,1.2508928641319,4.44089209832458e-16,3.10700752445938e-14,2,1,0,0.332833909891951
4,2,0.01,2,0.857072367232088,0.000422319394442374,1014.72058649326,4.440892097789e-16,8.94498623790062e-15,2,1,0,0.132927632767912
5,3,0.02,1,0.342901542251876,0.137153924057451,1.25006099755571,4.44089209849681e-16,4.60806335497392e-14,2,1,0,0.322901542251876
6,3,0.02,2,0.856341889190753,0.000427962791256337,1000.48638186144,4.44089073491217e-16,1.77113231530221e-14,2,1,0,0.123658110809247
7,4,0.03,1,0.343015730502937,0.137350581752513,1.24868684983441,4.4408920984901e-16,3.03217728548375e-14,2,1,0,0.313015730502937
8,4,0.03,2,0.855153784131291,0.000437659629803119,976.962148092093,4.44089209094465e-16,1.31445863743398e-14,2,1,0,0.114846215868709
9,5,0.04,1,0.0398231220045979,2.80026933049288e-20,7.11058782291998e+17,4.58535655414038e-15,1.19820619599941e-12,0,0,1,0.000176877995402107
10,5,0.04,2,0.343178671819599,0.137624992035022,1.24678907059362,4.44089209845619e-16,3.33723784273416e-14,2,1,0,0.303178671819599
11,5,0.04,3,0.853542695763735,0.000451681735400807,944.849690464382,4.44087852284874e-16,9.55623019966621e-15,2,1,0,0.106457304236265
12,6,0.05,1,0.0496531252748676,-1.73176562770511e-19,1.43359830223292e+17,2.37983532881244e-16,3.21711517127205e-13,0,0,1,0.000346874725132423
13,6,0.05,2,0.34339343141699,0.137976150073951,1.24439416244381,4.44089209849573e-16,4.01019580337718e-14,2,1,0,0.29339343141699
14,6,0.05,3,0.851544006843871,0.000470223359499697,905.467571570547,4.44089209228466e-16,1.52383010494961e-14,2,1,0,0.0984559931561293
15,7,0.06,1,0.059397695735598,-9.12835951920712e-17,325347044069739,1.04481515327421e-14,1.52362713720651e-12,0,0,1,0.00060230426440197
16,7,0.06,2,0.343663926568004,0.13840263006751,1.24153683495888,4.44089209849071e-16,4.36437939497519e-14,2,1,0,0.283663926568004
17,7,0.06,3,0.84918874755485,0.000493381435797275,860.580360287179,4.44089167425929e-16,8.78402677305506e-15,2,1,0,0.0908112524451498
18,8,0.07,1,0.0690382801359755,-1.72470499799106e-19,2.00145184876229e+17,4.44089209840929e-16,1.54374640795256e-13,0,0,1,0.000961719864024546
19,8,0.07,2,0.343994898821892,0.138902487030999,1.23826040186423,4.4408920984975e-16,3.43133619570224e-14,2,1,0,0.273994898821892
20,8,0.07,3,0.846501512026807,0.000521179998929592,812.100918843169,4.44089209661159e-16,1.24151309386607e-14,2,1,0,0.0834984879731933
21,9,0.08,1,0.0785556773828703,3.52620374288879e-19,1.11388454993974e+17,3.83875194310608e-15,3.88011085310035e-13,0,0,1,0.00144432261712968
22,9,0.08,2,0.344391869326117,0.13947314042073,1.23461717534729,4.44089209849233e-16,6.54989777242371e-14,2,1,0,0.264391869326117
23,9,0.08,3,0.843500381006513,0.000553600699299413,761.831029182198,4.4408920952233e-16,1.6418708750487e-14,2,1,0,0.0764996189934875
24,10,0.09,1,0.0879300650369464,6.55890998136479e-18,6.70310046080627e+15,1.59744377160328e-14,1.30278987802244e-12,0,0,1,0.00206993496305362
25,10,0.09,2,0.344861071566327,0.140111243407198,1.23066879994804,4.44089209849587e-16,5.02003730113899e-14,2,1,0,0.254861071566327
26,10,0.09,3,0.840197784348109,0.000590600284175455,711.308313643228,4.44089209828239e-16,1.32141679702151e-14,2,1,0,0.069802215651891
27,11,0.1,1,0.0971410930588988,-4.04991082418996e-17,1.19929916084422e+15,8.88740849994924e-15,6.45665024781906e-13,0,0,1,0.00285890694110123
28,11,0.1,2,0.345409355809169,0.140812543567699,1.22648645872626,4.44089209849217e-16,4.37640473161742e-14,2,1,0,0.245409355809169
