point_id_0,point_id_1,kappa_0,kappa_1,Omega_real_0,Omega_imag_0,Omega_real_1,Omega_imag_1,Q_0,Q_1,mode_overlap,delta_Omega,sheet_signature,assignment_cost
1,3,0,0.01,0.342811512642305,0.136996225710857,0.342833909891951,0.13703568056161,1.25117137666931,1.2508928641319,0.999875603912089,4.53687341630499e-05,2,0.000124597719458215
2,4,0,0.01,0.857319127351095,0.000420473901095379,0.857072367232088,0.000422319394442374,1019.46770669676,1014.72058649326,0.99957261914144,0.000246767020036356,2,0.000433345981385652
3,5,0.01,0.02,0.342833909891951,0.13703568056161,0.342901542251876,0.137153924057451,1.2508928641319,1.25006099755571,0.999873343442788,0.000136219163181561,2,0.000128474254558949
4,6,0.01,0.02,0.857072367232088,0.000422319394442374,0.856341889190753,0.000427962791256337,1014.72058649326,1000.48638186144,0.999614014665725,0.000730499840384178,2,0.000438259295104546
5,7,0.02,0.03,0.342901542251876,0.137153924057451,0.343015730502937,0.137350581752513,1.25006099755571,1.24868684983441,0.999870767759987,0.000227405377481346,2,0.000134298023429394
6,8,0.02,0.03,0.856341889190753,0.000427962791256337,0.855153784131291,0.000437659629803119,1000.48638186144,976.962148092093,0.999682257214963,0.00118814462966253,2,0.000456030555910336
7,10,0.03,0.04,0.343015730502937,0.137350581752513,0.343178671819599,0.137624992035022,1.24868684983441,1.24678907059362,0.999867830499627,0.000319140840103751,2,0.000142146729025055
8,11,0.03,0.04,0.855153784131291,0.000437659629803119,0.853542695763735,0.000451681735400807,976.962148092093,944.849690464382,0.999755931186853,0.00161114938709038,2,0.000498351492088325
9,12,0.04,0.05,0.0398231220045979,2.80026933049288e-20,0.0496531252748676,-1.73176562770511e-19,7.11058782291998e+17,1.43359830223292e+17,0.999861686794396,0.00983000327026969,0,0.00960400766700886
10,13,0.04,0.05,0.343178671819599,0.137624992035022,0.34339343141699,0.137976150073951,1.24678907059362,1.24439416244381,0.999864485034668,0.00041162319295208,2,0.000152112547663945
11,14,0.04,0.05,0.853542695763735,0.000451681735400807,0.851544006843871,0.000470223359499697,944.849690464382,905.467571570547,0.999819632689973,0.0019987749223489,2,0.000571724161313091
12,15,0.05,0.06,0.0496531252748676,-1.73176562770511e-19,0.059397695735598,-9.12835951920712e-17,1.43359830223292e+17,325347044069739,0.999854374003424,0.00974457046073045,0,0.00944750225428757
13,16,0.05,0.06,0.34339343141699,0.137976150073951,0.343663926568004,0.13840263006751,1.24439416244381,1.24153683495888,0.999860685258854,0.000505027535514903,2,0.000164299506366984
14,17,0.05,0.06,0.851544006843871,0.000470223359499697,0.84918874755485,0.000493381435797275,905.467571570547,860.580360287179,0.999867080554353,0.00235537313710907,2,0.000676375701811932
15,18,0.06,0.07,0.059397695735598,-9.12835951920712e-17,0.0690382801359755,-1.72470499799106e-19,325347044069739,2.00145184876229e+17,0.999845658963184,0.00964058440037743,0,0.00925875255493547
16,19,0.06,0.07,0.343663926568004,0.13840263006751,0.343994898821892,0.138902487030999,1.24153683495888,1.23826040186423,0.999856386759144,0.000599499471886683,2,0.000178819733929753
17,20,0.06,0.07,0.84918874755485,0.000493381435797275,0.846501512026807,0.000521179998929592,860.580360287179,812.100918843169,0.999898514830305,0.00268737930766974,2,0.000808947133119465
18,21,0.07,0.08,0.0690382801359755,-1.72470499799106e-19,0.0785556773828703,3.52620374288879e-19,2.00145184876229e+17,1.11388454993974e+17,0.999835605438438,0.00951739724689486,0,0.00903762071880674
19,22,0.07,0.08,0.343994898821892,0.138902487030999,0.344391869326117,0.13947314042073,1.23826040186423,1.23461717534729,0.999851548429354,0.000695148093887964,2,0.000195788472435236
20,23,0.07,0.08,0.846501512026807,0.000521179998929592,0.843500381006513,0.000553600699299413,812.100918843169,761.831029182198,0.99991707412526,0.00300130613280017,2,0.000965326381135173
21,24,0.08,0.09,0.0785556773828703,3.52620374288879e-19,0.0879300650369464,6.55890998136479e-18,1.11388454993974e+17,6.70310046080627e+15,0.999824312169089,0.00937438765407606,0,0.00878425702819008
22,25,0.08,0.09,0.344391869326117,0.13947314042073,0.344861071566327,0.140111243407198,1.23461717534729,1.23066879994804,0.999846134546674,0.000792039243697518,2,0.000215317812204566
23,26,0.08,0.09,0.843500381006513,0.000553600699299413,0.840197784348109,0.000590600284175455,761.831029182198,711.308313643228,0.99992640006994,0.00330280390840565,2,0.00114218902302775
24,27,0.09,0.1,0.0879300650369464,6.55890998136479e-18,0.0971410930588988,-4.04991082418996e-17,6.70310046080627e+15,1.19929916084422e+15,0.999811921870247,0.00921102802195239,0,0.00849923279631874
25,28,0.09,0.1,0.344861071566327,0.140111243407198,0.345409355809169,0.140812543567699,1.23066879994804,1.22648645872626,0.999840117282634,0.000890189601190285,2,0.000237509250531556
26,29,0.09,0.1,0.840197784348109,0.000590600284175455,0.836601620841047,0.000632111411513401,711.308313643228,661.751714652687,0.999929579654037,0.00359640308408566,2,0.00133743570693207
27,30,0.1,0.11,0.0971410930588988,-4.04991082418996e-17,0.106168054099286,-4.46101383408162e-19,1.19929916084422e+15,1.18995432482382e+17,0.999798629083562,0.00902696104038735,0,0.00818367546742619
28,31,0.1,0.11,0.345409355809169,0.140812543567699,0.346044060307568,0.141571743036829,1.22648645872626,1.22215087871577,0.99983347954894,0.000989562344784555,2,0.000262445378493715
29,32,0.1,0.11,0.836601620841047,0.000632111411513401,0.832716309224515,0.000678029126390658,661.751714652687,614.071193119167,0.999928884753953,0.00388558294134772,2,0.00155007898097869
30,33,0.11,0.12,0.106168054099286,-4.46101383408162e-19,0.114990135863956,4.11545700420978e-19,1.18995432482382e+17,1.39705184316505e+17,0.999784685374031,0.00882208176466971,0,0.00783939233984865
31,34,0.11,0.12,0.346044060307568,0.141571743036829,0.346772846140797,0.142382368454412,1.22215087871577,1.21775206405499,0.999826217989509,0.0010900653000381,2,0.000290181261921378
32,35,0.11,0.12,0.832716309224515,0.000678029126390658,0.828543657391682,0.000728185760871344,614.071193119167,568.909543356252,0.9999258520198,0.00417295327148855,2,0.00177996404609663
