cavity,K,Re_f_Hz,Im_f_Hz,Q,sigma_ratio,raw_residual,dominant_q,bottom_modal_fraction,surface_modal_fraction
wide_q1,10,200787.745024493,2435.62804986719,41.2188850090312,2.40733632540137e-13,7.54768552954731e-14,1,0.999999999996997,0.99433276426911
wide_q1,14,200794.986080041,2440.00663688586,41.1464016213318,1.425941817245e-12,4.68801713563369e-13,1,0.999999999996961,0.994154455687389
wide_q1,18,200798.77828081,2442.25623311952,41.1092774701055,4.65340470514572e-14,1.56899668687409e-14,1,0.999999999996942,0.994067577942125
wide_q1,22,200801.080423995,2443.60486758785,41.0870601641523,1.05448257189441e-14,3.61927977427881e-15,1,0.999999999996929,0.994016699645361
wide_q1,30,200803.705059201,2445.12425491281,41.0620655894563,8.12570168652188e-13,2.8604058809212e-13,1,0.999999999996914,0.993960018674345
wide_q1,38,200805.147592672,2445.94974810769,41.0485022736108,5.62373589958082e-14,2.00256746533629e-14,1,0.999999999996905,0.993929215804611
wide_q1,46,200806.059188381,2446.46727564116,41.0400051510508,3.89413388480994e-14,1.40565019262087e-14,1,0.9999999999969,0.993909740327388
wide_q1,62,200807.163178324,2447.08890506454,41.0298054073003,2.97527047211474e-13,1.08815300375085e-13,1,0.999999999996893,0.993885928361734
narrow_q0,10,212956.004195896,65947.8931046093,1.6145777686794,1.79963127832479e-12,3.80974589583865e-13,0,0.999999978169334,0.994815029044166
narrow_q0,14,213010.508335858,66012.2330517218,1.6134169265942,9.41653619684984e-14,2.04209781290933e-14,0,0.999999977947053,0.994720219766246
narrow_q0,18,213036.866158643,66043.6707264925,1.61284846689469,1.45393423985588e-12,3.19811340558578e-13,0,0.999999977831278,0.994675413795229
narrow_q0,22,213052.104258148,66061.962579117,1.61251721823275,1.46045015823204e-12,3.24001130987337e-13,0,0.999999977761194,0.994649618596807
narrow_q0,30,213068.736620351,66082.0448039919,1.61215302320275,1.74282919032269e-14,3.86596353429866e-15,0,0.999999977681441,0.994621328691463
narrow_q0,38,213077.520378993,66092.7090413206,1.61195934823748,6.93989423097108e-13,1.56603303347904e-13,0,0.999999977637641,0.994606200313404
narrow_q0,46,213082.930102689,66099.3011657082,1.61183950771657,4.10560880668665e-12,9.3085848288932e-13,0,0.999999977609952,0.994596751979413
narrow_q0,62,213089.322338884,66107.1192718475,1.61169723235566,4.62021406772366e-12,1.0540326900397e-12,0,0.99999997757637,0.994585364502617
