mode,K,Re_f_Hz,Im_f_Hz,Q,sigma_ratio,raw_residual,bottom_wide_fraction,bottom_narrow_fraction,surface_wide_fraction,surface_narrow_fraction,dominant_q_wide,dominant_q_narrow
broad_q0_hybrid,6,187326.232569405,31315.7784887831,2.99092409017555,2.09639270965712e-10,2.53596316914917e-10,0.213947696842502,0.786052303157498,0.452891277447601,0.547108722552399,0,0
broad_q0_hybrid,10,187569.301609467,31495.1183600518,2.97775197199098,3.32128469394344e-11,4.04970127630691e-11,0.213187255405337,0.786812744594663,0.453381532962472,0.546618467037528,0,0
broad_q0_hybrid,14,187642.088849246,31556.900037722,2.97307543873044,4.18614531752489e-12,5.12493739573401e-12,0.21289689912604,0.78710310087396,0.453496059463181,0.546503940536819,0,0
broad_q0_hybrid,18,187674.981876021,31586.9210188072,2.97077043001876,9.57768146310281e-13,1.17549358199144e-12,0.212749420923203,0.787250579076797,0.4535413365572,0.5464586634428,0,0
broad_q0_hybrid,22,187693.143268224,31604.2787135701,2.96942614905546,8.18050363701201e-14,1.00129293594449e-13,0.21266210215155,0.78733789784845,0.453564481652373,0.546435518347627,0,0
broad_q0_hybrid,30,187712.056109216,31623.1370642798,2.96795437669035,5.86216741133971e-14,7.21807437834758e-14,0.212565624469848,0.787434375530152,0.453587420772781,0.546412579227219,0,0
broad_q0_hybrid,38,187721.525555608,31632.967297712,2.96718173462636,9.03371910035131e-14,1.11248879087303e-13,0.212514910929697,0.787485089070303,0.453598854580521,0.546401145419479,0,0
broad_q0_hybrid,46,187727.090911634,31638.8998399047,2.96671331591092,3.10684645398922e-14,3.8518059356307e-14,0.212484418524318,0.787515581475682,0.453605926896252,0.546394073103748,0,0
narrow_q1_hybrid,6,200694.673930192,1508.1853885159,66.5351472897114,6.1976303100303e-14,6.46856817081728e-14,0.898909921037461,0.101090078962539,0.679426262141982,0.320573737858018,1,0
narrow_q1_hybrid,10,200720.010937317,1513.18001011003,66.3239038304247,1.84436862283564e-13,1.92856813083913e-13,0.898313063472102,0.101686936527898,0.676291054314587,0.323708945685413,1,0
narrow_q1_hybrid,14,200729.681299321,1515.27220327569,66.2355188940267,2.86166391119233e-15,2.97459236611818e-15,0.89811790777584,0.10188209222416,0.675167922665169,0.324832077334831,1,0
narrow_q1_hybrid,18,200734.627618702,1516.37976856213,66.1887713686141,3.87669412281839e-12,4.06736682271295e-12,0.898024818821437,0.101975181178563,0.674608645456615,0.325391354543385,1,0
narrow_q1_hybrid,22,200737.57832631,1517.05245526441,66.160394661938,3.1910073274425e-13,3.35123884563646e-13,0.897971546908814,0.102028453091186,0.674280163842831,0.325719836157169,1,0
narrow_q1_hybrid,30,200740.873339409,1517.81434720025,66.1282698077317,6.47395715249167e-13,6.81145498939898e-13,0.897914254286957,0.102085745713043,0.673918412043043,0.326081587956957,1,0
narrow_q1_hybrid,38,200742.633534112,1518.22610776144,66.1109147405251,2.31967669169328e-13,2.44006329365309e-13,0.897884771458184,0.102115228541816,0.673727764623864,0.326272235376136,1,0
narrow_q1_hybrid,46,200743.711847306,1518.48005664367,66.1002134894725,9.67888741876055e-14,1.01904593882793e-13,0.897867220830632,0.102132779169368,0.673612145672262,0.326387854327738,1,0
