kappa,Omega_real,Omega_imag,Q,sigma_ratio,raw_residual,mode_overlap,source_code
0,0.883968664686884,2.26788551909241e-17,1.94888290710689e+16,9.27145390440267e-14,1.86005644884855e-12,0.999999999996799,2
1.05311808482056e-07,0.883968664686884,2.26788551909241e-17,1.94888290710689e+16,2.13504221641696e-14,4.50710912906139e-13,0.992881204633419,2
0.00500010531180848,0.883992830609164,5.44770998112934e-08,8113435.12844186,8.35209484098854e-16,1.19747479608357e-13,0.99337607628484,2
0.0100001053118085,0.884064642721753,2.10661015315954e-07,2098310.97936136,6.60911983258009e-16,1.16316704487278e-13,0.994226421933051,2
0.0150001053118085,0.884182115599538,4.4825869911972e-07,986240.888727731,6.41266457430042e-16,1.09276411207555e-13,0.995231270059015,2
0.0200001053118085,0.884342144619727,7.37779916868211e-07,599326.522991881,4.81237034103427e-16,1.37629788685103e-13,0.996216522835799,2
0.0250001053118085,0.884540769919841,1.04566620697163e-06,422955.606685221,7.85617616499683e-16,1.18972279889252e-13,0.997078178851679,2
0.0300001053118085,0.884773475397604,1.33936227696399e-06,330296.548818431,3.17632122209494e-15,1.16424852469231e-13,0.997778551254887,2
0.0350001053118085,0.885035479164797,1.59129345332983e-06,278086.822173759,3.24304192733237e-15,1.28237886069373e-13,0.998322125956011,2
0.0400001053118085,0.885321983828964,1.78125762954741e-06,248510.369624047,4.87296659153134e-15,1.56980526316451e-13,0.998732477274126,2
0.0450001053118085,0.88562837013329,1.89725624762606e-06,233397.141593665,5.20367052771812e-15,1.69883290810939e-13,0.999037653760909,2
0.0500001053118085,0.885950330833375,1.93511293549407e-06,228914.373570444,5.86246513230678e-15,1.74310278183604e-13,0.999263196657479,2
0.0550001053118085,0.886283950730377,1.89733794916706e-06,233559.854510753,6.74487309064193e-15,1.95266494377681e-13,0.99942982504644,2
0.0600001053118085,0.886625743290392,1.79165452296323e-06,247432.117053458,4.91661327443916e-15,1.84247083818849e-13,0.999553367900697,2
0.0650001053118085,0.886972655312239,1.62949124261312e-06,272162.449271545,5.22764351665359e-15,1.73786482768475e-13,0.999645531230318,2
0.0700001053118085,0.887322050040277,1.4246238100313e-06,311423.283744213,4.48378261601191e-15,1.38158627176428e-13,0.999714826613131,2
0.0750001053118085,0.887671677113529,1.19205163796449e-06,372329.372672684,2.98790048923737e-15,1.19666131033434e-13,0.999767397883584,2
0.0800001053118085,0.888019635554659,9.47128454409376e-07,468795.774966144,3.23956337339881e-15,1.5966391725222e-13,1,2
0.0850001053118085,0.888364334020864,7.04928105279808e-07,630109.884516694,1.23116203318966e-16,1.38319814072408e-13,1,1
0.0888826779731045,0.888628896595069,5.27933841406693e-07,841610.090979673,2.83117325790181e-16,1.12659590123592e-13,1,1
0.0921622758155908,0.888849828779537,3.91147271185854e-07,1136208.65369299,2.06330055044547e-16,1.22236077557277e-13,1,1
0.0949325425811458,0.889034418023126,2.87511326631557e-07,1546085.90283891,3.46655387313677e-16,1.02233019566646e-13,1,1
0.0972725788663631,0.88918877444811,2.10075474357442e-07,2116355.50786658,2.7301110410105e-16,1.13727521011882e-13,1,1
0.0992492007152835,0.88931797842012,1.52794740241229e-07,2910172.0943276,3.98229303030093e-16,1.0571772305939e-13,1,1
0.10091884744611,0.889426239033628,1.10737907822717e-07,4015906.82233918,1.51213473769341e-13,3.21476248489454e-12,1,1
0.102329193186892,0.889517040199461,8.00327623886783e-08,5557205.65959932,4.66695143793842e-14,9.97953629764978e-13,1,1
0.103520508135028,0.889593266956256,5.77126577974557e-08,7707089.75211564,1.36992939511407e-14,3.15151645918021e-13,1,1
0.104526808409219,0.889657311357734,4.15428690422013e-08,10707701.8495518,5.5883148264902e-15,1.56929687012804e-13,1,1
0.105376827326065,0.889711159873494,2.98601427143002e-08,14897972.3303098,4.55323756410551e-15,1.60922136752623e-13,1,1
0.106094835834586,0.889756465000781,2.14374612548566e-08,20752374.8829915,2.53768291333818e-15,1.2956697303519e-13,1,1
0.106701335534876,0.889794603773406,1.53756322100847e-08,28935220.0812205,2.08588387527515e-15,1.14293760638884e-13,1,1
0.107213644068949,0.889826725554945,1.10190568931494e-08,40376718.9054153,1.55907105178992e-15,1.08196211913837e-13,1,1
0.107646389598681,0.8898537911292,7.89163619568581e-09,56379549.7577337,3.59231535754755e-16,1.18350729258694e-13,1,1
0.108011928489891,0.889876604740589,5.64870713897774e-09,78768166.1348823,2.7120863240604e-16,1.33347326542773e-13,1,1
0.108320698128875,0.889895840422697,4.04138081841118e-09,110097993.780817,2.88670159120625e-16,9.46583863695834e-14,1,1
0.108581514945501,0.889912063691453,2.89029050462797e-09,153948549.854507,2.20232509305676e-16,1.06407202440206e-13,1,1
0.108801826152453,0.889925749466885,2.06638316344882e-09,215334156.125621,4.04022905728729e-16,1.22057982532545e-13,1,1
0.108987922388641,0.889937296917033,1.47692996946245e-09,301279449.709094,7.04267151464797e-17,9.53629611194479e-14,1,1
0.10914511733847,0.889947041781952,1.05537547307131e-09,421625793.136949,3.85000111175651e-16,1.1652339406436e-13,1,1
0.109277899455711,0.889955266627933,7.5399321501818e-10,590161323.007711,2.79459888044117e-16,1.20945755697655e-13,1,1
0.109390060124219,0.889962209396368,5.38584729913386e-10,826204457.689963,7.91003461781455e-16,9.495856284568e-14,1,1
0.109484801914919,0.88996807054341,3.84660475795439e-10,1156822869.18489,2.93727548798016e-16,8.38022194661095e-14,1,1
0.10956483003016,0.889973019011987,2.74692661540187e-10,1619943201.28895,3.41072893214166e-16,9.90910667527986e-14,1,1
0.109632429546507,0.889977197233965,1.96141824990304e-10,2268708362.62985,1.44666578767518e-16,1.33972977452386e-13,1,1
0.10968953066149,0.889980725324964,1.40040443137593e-10,3177584651.20871,4.28515335780449e-16,1.09832226357155e-13,1,1
0.109737763807355,0.889983704605787,9.99775197805948e-11,4450919099.40803,3.23654628424346e-17,1.21868419448141e-13,1,1
0.10977850620548,0.889986220561198,7.13709459370138e-11,6234933619.53355,4.98980999767572e-17,1.22605494608988e-13,1,1
0.10981292119076,0.889988345327906,5.09465632736775e-11,8734527788.9209,5.70872509453398e-16,9.65126563014057e-14,1,1
0.1098419914288,0.889990139788033,3.63651971127595e-11,12236839209.5936,6.69478393534758e-16,1.08441628984671e-13,1,1
0.109866546974382,0.889991655331653,2.59559848619209e-11,17144247464.8174,9.20414843259806e-16,1.30869874256098e-13,1,1
0.109887288972365,0.889992935341437,1.85255976088226e-11,24020626868.1338,8.65305226696e-17,1.3399406242616e-13,1,1
0.109904809677776,0.889994016443735,1.32218460927291e-11,33656193325.876,2.00767216137983e-16,1.06089246175369e-13,1,1
0.109919609366713,0.889994929563233,9.43623669895711e-12,47158361853.1737,1.41556922293648e-16,1.33348991545842e-13,1,1
0.109932110620944,0.889995700812283,6.73432585008729e-12,66079049382.556,6.18990798991036e-16,1.50408019245284e-13,1,1
0.109942670394059,0.889996352241019,4.80595875607769e-12,92593007702.7311,5.36056052796415e-16,1.08153061270343e-13,1,1
0.109951590203717,0.889996902470202,3.42970602108662e-12,129748278277.831,2.34141889763987e-16,9.701483612931e-14,1,1
0.10995912474101,0.889997367225215,2.44752123377198e-12,181816066587.01,4.26179718331109e-16,1.4342083246103e-13,1,1
0.109965489142763,0.88999775978673,1.74657631924466e-12,254783529920.875,1.04472490230274e-16,1.19835918000083e-13,1,1
0.109970865134426,0.889998091371094,1.24636360757283e-12,357037900482.458,2.4484142381079e-16,1.56236381382747e-13,1,1
0.109975406218959,0.889998371451442,8.89392067901857e-13,500340852797.92,4.37953891643806e-16,1.00007131056856e-13,1,1
