mode,level_pct,sample,delta_d1_pct,delta_d2_pct,delta_w1_pct,delta_w2_pct,delta_g_pct,geometry_valid,solver_ok,strict_sigma_ratio,strict_raw_residual,full_sigma_ratio,full_raw_residual,threshold_amplitude_error,finite_open_amplitude_error,strict_threshold_amplitude,strict_sigma_over_baseline,strict_raw_over_baseline
independent,1,1,0.552059830314504,0,0,0,0,1,1,0.00488199658594627,0.0480712326978392,0.0028709775983623,0.0382661122908707,0.00743830337563778,0.0102077374245679,0,26.8090804512356,21.655448464395
independent,1,2,0,-0.0898134735489557,0,0,0,1,1,0.0002292560847145,0.00291443810376139,4.30408282334049e-05,0.000594487858810333,0.000771109606140809,0.000566185373855583,0,1.25894082694346,1.31291545102214
independent,1,3,0,0,-0.43175294659786,0,0,1,1,0.0247305354090776,0.296530852644803,0.014738481199017,0.22125995830644,0.128389725875764,0.0141125650416904,0,135.80568968292,133.583189720061
independent,1,4,0,0,0,0.410743833561971,0,1,1,0.00038035086016172,0.00668986874522594,0.000282835464008101,0.00390362509688893,0.00133977819680944,0.000412623380962468,0,2.08866528893645,3.013696543969
independent,1,5,0,0,0,0,-0.829642623842543,1,1,0.000621598691263488,0.00938604996673575,0.000153300839189873,0.00211400630946528,0.00352241419072207,0.00078416229519127,0,3.41345779930233,4.22829018378843
independent,1,6,0.516042592343543,0,0,0,0,1,1,0.00457247295929783,0.045092562038685,0.00269081278511587,0.0359487802033599,0.00695939929628479,0.00955210703053994,0,25.1093570568638,20.3135971048268
independent,1,7,0,0.20631164931818,0,0,0,1,1,0.000522477144570509,0.00949906667860164,0.000419654747194968,0.00577889682542063,0.00140325812856392,0.000636403741530811,0,2.86914002419518,4.27920270344048
independent,1,8,0,0,0.721611197614244,0,0,1,1,0.0431674717922047,0.414203434032411,0.0222987240082127,0.247084960007326,0.205422446464494,0.0206320460383976,0,237.050600872009,186.59311642465
independent,1,9,0,0,0,0.0295566193886681,0,1,1,0.000185727805998484,0.00241632954967187,0.000166401729501262,0.0022962833156966,7.96881930137605e-05,0.000162020549662257,0,1.01990888469246,1.08852419834589
independent,1,10,0,0,0,0,0.213970319308057,1,1,0.000238019954686238,0.00323401061657841,0.000157026266649104,0.0021670619535181,0.000911955986497892,0.000280619670723592,0,1.30706689401463,1.45687860098849
independent,1,11,0.59230622718065,0,0,0,0,1,1,0.00522814710446502,0.0513919693453229,0.00307281529588564,0.0408489113631359,0.00797364243770147,0.0109408204346549,0,28.7099373928239,23.1513959843063
independent,1,12,0,0.705252030106591,0,0,0,1,1,0.00157683233318432,0.0285977228948663,0.00105358225624634,0.0144336461320549,0.00507487819599773,0.00266029082928772,0,8.65904433447166,12.8828923161079
independent,1,13,0,0,0.684194738023611,0,0,1,1,0.0409478431944301,0.396673347963001,0.0212805046534304,0.238362889426357,0.195349286117404,0.0196846050861649,0,224.861694017608,178.696046718975
independent,1,14,0,0,0,0.519246392140881,0,1,1,0.000455435378699797,0.00805913420098191,0.000315633863259165,0.00435665941090805,0.00171395965756217,0.000567277640338684,0,2.5009857120855,3.63053234881685
independent,1,15,0,0,0,0,-0.293033685281575,1,1,0.000277889158770612,0.00391174884228082,0.000156798985310705,0.00216338923790591,0.00124954762899049,0.000334922746561137,0,1.52600533057594,1.76219062224042
independent,1,16,0.927883462473557,0,0,0,0,1,1,0.00812602566584699,0.0787591646766686,0.00477709722722091,0.0621009497934621,0.012447015343384,0.0170727729905557,0,44.6233978228544,35.4799520635356
independent,1,17,0,-0.331016945203728,0,0,0,1,1,0.000690641592947581,0.0119476618579788,0.000263926105059602,0.00365425113484626,0.00253952058958036,0.00154648779492026,0,3.79260118321291,5.38226213714524
independent,1,18,0,0,0.908228428272701,0,0,1,1,0.0541762910473931,0.497563556814748,0.027169512811614,0.285738233715902,0.254227815817214,0.0251466619359835,0,297.504621248644,224.145738680989
independent,1,19,0,0,0,0.820437097261501,0,1,1,0.000673783380697578,0.0119117498099039,0.000405877799316959,0.00560390799446504,0.00275295595704389,0.000998140251691656,0,3.70002570502119,5.36608423899927
independent,1,20,0,0,0,0,-0.624924867524924,1,1,0.000483282919114619,0.00721894382436249,0.000155030315170844,0.00213835204094479,0.0026545170398395,0.000605310481243874,0,2.65390817694325,3.25203780270173
