scale_factor,f_BIC_Hz,delta_f_Hz,Omega,kappa,sigma_ratio,strict_residual,finite_open_power
0.5,400000,200000,0.916151303447099,0.0838486965529006,1.18172784146322e-15,9.69437720888158e-14,0
0.6,333333.333333333,133333.333333333,0.916151303447099,0.0838486965529006,6.61756503141262e-16,9.16168451475967e-14,0
0.7,285714.285714286,85714.2857142857,0.916151303447099,0.0838486965529006,8.06703795940887e-16,1.14822648410028e-13,0
0.8,250000,50000,0.916151303447099,0.0838486965529006,5.46593839695579e-16,1.60555467530835e-13,0
0.9,222222.222222222,22222.2222222222,0.916151303447099,0.0838486965529006,5.87421116705337e-16,1.8606044598659e-13,0
1,200000,0,0.916151303447099,0.0838486965529006,1.18172784146322e-15,9.69437720888158e-14,0
1.1,181818.181818182,-18181.8181818182,0.916151303447099,0.0838486965529006,1.14420009383923e-15,1.082062154081e-13,0
1.2,166666.666666667,-33333.3333333333,0.916151303447099,0.0838486965529006,6.61756503141262e-16,9.16168451475967e-14,0
1.3,153846.153846154,-46153.8461538462,0.916151303447099,0.0838486965529006,1.81434708176072e-15,1.17991805252e-13,0
1.4,142857.142857143,-57142.8571428571,0.916151303447099,0.0838486965529006,8.06703795940887e-16,1.14822648410028e-13,0
1.5,133333.333333333,-66666.6666666667,0.916151303447099,0.0838486965529006,1.71312430584691e-16,1.38172377773055e-13,0
1.6,125000,-75000,0.916151303447099,0.0838486965529006,5.46593839695579e-16,1.60555467530835e-13,0
1.7,117647.058823529,-82352.9411764706,0.916151303447099,0.0838486965529006,3.32400293857581e-16,9.62080626367951e-14,0
1.8,111111.111111111,-88888.8888888889,0.916151303447099,0.0838486965529006,5.87421116705337e-16,1.8606044598659e-13,0
1.9,105263.157894737,-94736.8421052632,0.916151303447099,0.0838486965529006,4.59199555242022e-16,1.56593966778842e-13,0
2,100000,-100000,0.916151303447099,0.0838486965529006,1.18172784146322e-15,9.69437720888158e-14,0
