delta_kappa,kappa,Re_Omega,Im_Omega,Q,sigma_ratio,mode_overlap,finite_channel_radiation_fraction,groove_content
-0.001,0.0828486965529006,0.916065163334926,2.22507689823636e-09,205850225.684564,1.76500502566884e-16,NaN,5.33190136768559e-08,0.861357117184201
-0.000681292069057962,0.0831674044838427,0.916092672087195,1.03695463152422e-09,441722638.694729,1.65471884900569e-13,0.999999500317666,2.48684231149623e-08,0.861452495307522
-0.000464158883361278,0.0833845376695394,0.916111384233537,4.82395334069128e-10,949544201.128463,2.02791743499507e-12,0.999999772719187,1.15836782769501e-08,0.861516573838896
-0.000316227766016838,0.0835324687868838,0.916124118899341,2.24460735700365e-10,2040722436.46721,6.38907281525909e-13,0.999999896162539,5.39067328198161e-09,0.86155975067254
-0.000215443469003188,0.0836332530838974,0.916132788478353,1.04377418336874e-10,4388558383.00948,2.03782903075036e-13,0.999999952400995,2.50698792530031e-09,0.861588909360424
-0.000146779926762207,0.0837019166261384,0.916138691980066,4.85151627982933e-11,9441776953.20745,6.45651399097263e-14,0.999999978124688,1.16534305556795e-09,0.861608635659578
-0.0001,0.0837486965529006,0.91614271258222,2.25427843058262e-11,20320087797.3499,1.87668194431399e-14,0.999999989926675,5.4150643929528e-10,0.861621999140317
-6.81292069057961e-05,0.0837805673459948,0.91614545113063,1.0472027247847e-11,43742507035.54,5.79355565581386e-15,0.999999995354137,2.51559930915422e-10,0.861631061995418
-4.64158883361278e-05,0.0838022806645645,0.916147316576337,4.86379910344909e-12,94180217674.5607,1.83868788676576e-15,0.999999997854677,1.16841141098972e-10,0.861637213563321
-3.16227766016838e-05,0.083817073776299,0.916148587347419,2.25870871500977e-12,202803615459.432,5.46237644486656e-16,0.999999999008385,5.42609259786343e-11,0.861641391936122
-2.15443469003188e-05,0.0838271522060003,0.916149453047471,1.04880981947339e-12,436756710338.329,5.31823991869625e-16,0.999999999541296,2.5195951355712e-11,0.861644231623023
-1.46779926762207e-05,0.0838340185602244,0.916150042811256,4.86972987826862e-13,940657968422.043,1.366126097331e-16,0.999999999787678,1.16986995588276e-11,0.861646162387238
-1e-05,0.0838386965529006,0.916150444598328,2.2608338747854e-13,2026133929644.19,4.22844536942353e-16,0.999999999901672,5.43145227949449e-12,0.861647475634767
0,0.0838486965529006,0.916151303447099,0,Inf,7.71511379240435e-16,0.999999999552565,1.42620636933599e-31,0.861650274321132
